iter	RMSE
0	0.3781413567
1	0.3631815223
2	0.3490589795
3	0.335810174
4	0.323361613
5	0.3118259419
6	0.300904139
7	0.2906296864
8	0.2810967191
9	0.2722599667
10	0.2640490384
11	0.2564446323
12	0.2492567004
13	0.2425927184
14	0.2363472457
15	0.2307118253
16	0.2253530493
17	0.2204047859
18	0.2158120659
19	0.2116574973
20	0.2077859592
21	0.2042717966
22	0.2010030457
23	0.1980458477
24	0.1952978912
25	0.192855658
26	0.1906216512
27	0.1884831136
28	0.1866373492
29	0.1849766237
30	0.1834061036
31	0.1820063829
32	0.1806776845
33	0.1794767724
34	0.1783530976
35	0.177309649
36	0.1764427651
37	0.1755699935
38	0.1748318876
39	0.1741775124
40	0.1735683155
41	0.1729848382
42	0.1724908527
43	0.1720381531
44	0.171631193
45	0.1712729824
46	0.1709458009
47	0.1706222205
48	0.1702884092
49	0.1700380921
50	0.1697814616
51	0.1695659484
52	0.1693888445
53	0.1691701913
54	0.1690044482
55	0.1688440931
56	0.1687087085
57	0.1685533603
58	0.1684540384
59	0.1683650491
60	0.1682863566
61	0.168209333
62	0.168118233
63	0.1680358554
64	0.1679806394
65	0.1679164316
66	0.1678507455
67	0.1677742955
68	0.1677370783
69	0.1676716558
70	0.1676121834
71	0.1675672132
72	0.1675178599
73	0.167489169
74	0.1674616547
75	0.1674264737
76	0.1673921517
77	0.1673648632
78	0.1673397161
79	0.1673135173
80	0.1672848895
81	0.1672608107
82	0.167227265
83	0.1672177338
84	0.1671989953
85	0.1671821487
86	0.1671649759
87	0.1671448403
88	0.1671320779
89	0.1671193015
90	0.1671103493
91	0.1670870277
92	0.1670761281
93	0.167070649
94	0.1670629996
95	0.167043338
96	0.1670397256
97	0.1670205632
98	0.1670159379
99	0.1670117314
100	0.1670025867
101	0.1669983762
102	0.1669935723
103	0.166989219
104	0.1669835322
105	0.1669799072
106	0.1669763395
107	0.1669709151
108	0.1669577175
109	0.1669534398
110	0.1669499682
111	0.1669457487
112	0.1669420796
113	0.1669397167
114	0.1669378921
115	0.1669351366
116	0.1669317665
117	0.1669281428
118	0.1669229055
119	0.1669194316
120	0.1669177883
121	0.1669148815
122	0.1669116892
123	0.166908631
124	0.166906425
125	0.1669052556
126	0.1669025518
127	0.1668898361
128	0.1668848436
129	0.1668816369
130	0.1668808397
131	0.1668779494
132	0.1668767601
133	0.1668751536
134	0.1668727203
135	0.1668693634
136	0.1668679209
137	0.1668579649
138	0.1668550477
139	0.1668522775
140	0.1668500905
141	0.166847795
142	0.1668454937
143	0.166844326
144	0.1668417759
145	0.1668378642
146	0.1668364997
147	0.1668355435
148	0.1668345916
149	0.1668337591
150	0.1668312993
151	0.166820655
152	0.1668193745
153	0.1668173377
154	0.1668144387
155	0.1668134088
156	0.1668121706
157	0.1668109881
158	0.1668020858
159	0.1668015664
160	0.1668005025
161	0.1667977296
162	0.1667959993
163	0.1667948452
164	0.1667938588
165	0.1667910252
166	0.1667888253
167	0.1667858157
168	0.166782908
169	0.1667816317
170	0.166779561
171	0.166777908
172	0.1667770674
173	0.1667732089
174	0.1667723267
175	0.1667711548
176	0.1667698844
177	0.1667690334
178	0.1667613846
179	0.1667602521
180	0.1667583964
181	0.166754318
182	0.1667534373
183	0.1667524955
184	0.1667513763
185	0.1667486936
186	0.1667466654
187	0.1667456532
188	0.16674411
189	0.1667431687
190	0.1667413844
191	0.1667400174
192	0.1667383122
193	0.1667317154
194	0.1667298677
195	0.1667282258
196	0.166726891
197	0.1667246737
198	0.1667243826
199	0.1667239736
200	0.1667217033
201	0.1667198363
202	0.1667174698
203	0.1667160231
204	0.1667144172
205	0.1667129419
206	0.1667123063
207	0.1667108933
208	0.1667081529
209	0.1667064066
210	0.1667056595
211	0.1667046172
212	0.1667037078
213	0.1667027214
214	0.1667007319
215	0.1666995348
216	0.1666979452
217	0.1666934316
218	0.1666914142
219	0.1666902499
220	0.1666877658
221	0.1666864462
222	0.1666854363
223	0.1666845061
224	0.1666836533
225	0.166681404
226	0.1666802129
227	0.1666780198
228	0.1666775339
229	0.1666753827
230	0.1666727387
231	0.1666707664
232	0.1666693827
233	0.1666675463
234	0.1666669823
235	0.1666659804
236	0.1666639717
237	0.1666620727
238	0.1666607609
239	0.1666584096
240	0.1666559933
241	0.1666553074
242	0.1666545747
243	0.1666535474
244	0.1666521271
245	0.166650221
246	0.166649197
247	0.1666475297
248	0.1666471974
249	0.1666450854
250	0.166644195
251	0.1666411802
252	0.1666393866
253	0.1666370134
254	0.1666352538
255	0.1666341025
256	0.1666320585
257	0.1666301873
258	0.1666294637
259	0.1666284744
260	0.1666270922
261	0.1666251231
262	0.1666226305
263	0.1666183062
264	0.1666159835
265	0.1666131473
266	0.16661195
267	0.1666112633
268	0.1666102584
269	0.1666091956
270	0.1666072467
271	0.1666065892
272	0.166604628
273	0.1666039594
274	0.1666011789
275	0.1665971106
276	0.166595583
277	0.1665942306
278	0.1665919975
279	0.166589567
280	0.1665879127
281	0.1665873697
282	0.1665860604
283	0.1665844256
284	0.1665825413
285	0.1665811956
286	0.1665798057
287	0.1665778614
288	0.1665769624
289	0.1665749286
290	0.1665728414
291	0.1665714138
292	0.1665694761
293	0.1665676494
294	0.1665666023
